header:
('MAR', 2015)
row data:
      Company                   Brand       Location  Sale
0    Nintendo      Nintendo 3DS (3DS)         Europe   950
1    Nintendo      Nintendo 3DS (3DS)          Japan  1250
2    Nintendo      Nintendo 3DS (3DS)  North America  1480
3    Nintendo      Nintendo 3DS (3DS)          Other   300
4    Nintendo        Nintendo DS (DS)         Europe     0
5    Nintendo        Nintendo DS (DS)          Japan     0
6    Nintendo        Nintendo DS (DS)  North America     0
7    Nintendo        Nintendo DS (DS)          Other     0
8    Nintendo    Nintendo Switch (NS)         Europe     0
9    Nintendo    Nintendo Switch (NS)          Japan     0
10   Nintendo    Nintendo Switch (NS)  North America     0
11   Nintendo    Nintendo Switch (NS)          Other     0
12   Nintendo               Wii (Wii)         Europe     0
13   Nintendo               Wii (Wii)          Japan     0
14   Nintendo               Wii (Wii)  North America    50
15   Nintendo               Wii (Wii)          Other     0
16   Nintendo            Wii U (WiiU)         Europe   380
17   Nintendo            Wii U (WiiU)          Japan   240
18   Nintendo            Wii U (WiiU)  North America   910
19   Nintendo            Wii U (WiiU)          Other    80
20       Sony     PlayStation 3 (PS3)         Europe   730
21       Sony     PlayStation 3 (PS3)          Japan   100
22       Sony     PlayStation 3 (PS3)  North America   290
23       Sony     PlayStation 3 (PS3)          Other   210
24       Sony     PlayStation 4 (PS4)         Europe  1480
25       Sony     PlayStation 4 (PS4)          Japan   290
26       Sony     PlayStation 4 (PS4)  North America  1890
27       Sony     PlayStation 4 (PS4)          Other   660
28       Sony  PlayStation Vita (PSV)         Europe   170
29       Sony  PlayStation Vita (PSV)          Japan   290
30       Sony  PlayStation Vita (PSV)  North America   190
31       Sony  PlayStation Vita (PSV)          Other   150
32  Microsoft         Xbox 360 (X360)         Europe   170
33  Microsoft         Xbox 360 (X360)          Japan     0
34  Microsoft         Xbox 360 (X360)  North America   650
35  Microsoft         Xbox 360 (X360)          Other   130
36  Microsoft         Xbox One (XOne)         Europe   790
37  Microsoft         Xbox One (XOne)          Japan    10
38  Microsoft         Xbox One (XOne)  North America  2270
39  Microsoft         Xbox One (XOne)          Other   340
insights:
{'point': [], 'shape': [], 'compound': []}
