header:
('Sony', 'PlayStation 4 (PS4)', 'Other')
row data:
   Season  Year  Sale
0     DEC  2013     0
1     DEC  2014   940
2     DEC  2015   640
3     DEC  2016   430
4     DEC  2017  1320
5     DEC  2018   780
6     DEC  2019   610
7     DEC  2020   110
8     JUN  2013     0
9     JUN  2014   190
10    JUN  2015   870
11    JUN  2016   670
12    JUN  2017   520
13    JUN  2018   630
14    JUN  2019   660
15    JUN  2020   420
16    MAR  2013     0
17    MAR  2014   600
18    MAR  2015   660
19    MAR  2016  1320
20    MAR  2017  1600
21    MAR  2018  1760
22    MAR  2019  1000
23    MAR  2020   700
24    SEP  2013     0
25    SEP  2014   460
26    SEP  2015   390
27    SEP  2016   450
28    SEP  2017   640
29    SEP  2018   340
30    SEP  2019   720
31    SEP  2020   250
insights:
{'point': [], 'shape': [], 'compound': []}
